Timestamp	На текстах какого поэта учился писать эти стихи компьютер? "Как в сумерки мысль, / лишь город и люди были как пыльник. / Может, как новодородный голос, / Одного листьев и подносит пряда."	Насколько вы знакомы с творчеством поэта, которого выбрали в предыдущем вопросе?	На текстах какого поэта учился писать эти стихи компьютер? "И карточки не слышал. / Он был уж добрый свет, / Но как бы мог прибавил / Какой-то бедного покой."	Насколько вы знакомы с творчеством поэта, которого выбрали в предыдущем вопросе?	На текстах какого поэта учился писать эти стихи компьютер? "Под деревья полночного воздуха. / На вечности в отказе вернется, / И нашим новым пустотелым платьем / На прозрачной подкове просили лета."	Насколько вы знакомы с творчеством поэта, которого выбрали в предыдущем вопросе?	Если хотите, поясните свой выбор (необязательно)
2/15/2020 1:49:15	Б. Пастернак	этот автор хорошо мне известен, я помню наизусть многие его стихи	П. Вяземский	знаком(а) с этим автором в общих чертах, но процитировать не берусь	А. Ахматова	этот автор хорошо мне известен, я помню наизусть многие его стихи	
2/15/2020 10:13:10	Н. Гумилёв	слышал(а), но представляю себе смутно	П. Вяземский	слышал(а), но представляю себе смутно	А. Ахматова	знаком(а) с этим автором и могу привести отдельные строчки или стихи	
2/15/2020 17:14:48	Б. Пастернак	знаком(а) с этим автором и могу привести отдельные строчки или стихи	П. Вяземский	знаком(а) с этим автором в общих чертах, но процитировать не берусь	О. Мандельштам	этот автор хорошо мне известен, я помню наизусть многие его стихи	
2/15/2020 23:41:17	С. Есенин	знаком(а) с этим автором и могу привести отдельные строчки или стихи	Н. Некрасов	знаком(а) с этим автором в общих чертах, но процитировать не берусь	А. Ахматова	знаком(а) с этим автором и могу привести отдельные строчки или стихи	
2/16/2020 10:52:32	В. Маяковский	этот автор хорошо мне известен, я помню наизусть многие его стихи	М. Кузмин	слышал(а), но представляю себе смутно	А. Ахматова	знаком(а) с этим автором и могу привести отдельные строчки или стихи	
2/16/2020 11:46:51	Б. Пастернак	этот автор хорошо мне известен, я помню наизусть многие его стихи	Н. Некрасов	знаком(а) с этим автором и могу привести отдельные строчки или стихи	О. Мандельштам	этот автор хорошо мне известен, я помню наизусть многие его стихи	Во втором уверен не слишком, потому что остальных поэтов знаю хуже Некрасова, и они могут подходить лучше, а вот первый и третий варианты действительно очень похожи на Пастернака и Мандельштама, отсылая к ним и лексически, и метрически.
2/16/2020 13:31:10	В. Маяковский	знаком(а) с этим автором и могу привести отдельные строчки или стихи	Е. Белов	знаком(а) с этим автором в общих чертах, но процитировать не берусь	А. Ахматова	этот автор хорошо мне известен, я помню наизусть многие его стихи	
2/16/2020 20:45:40	Б. Пастернак	знаком(а) с этим автором и могу привести отдельные строчки или стихи	Н. Некрасов	знаком(а) с этим автором и могу привести отдельные строчки или стихи	О. Мандельштам	знаком(а) с этим автором и могу привести отдельные строчки или стихи	
2/17/2020 13:33:11	С. Есенин	знаком(а) с этим автором и могу привести отдельные строчки или стихи	Н. Некрасов	знаком(а) с этим автором и могу привести отдельные строчки или стихи	О. Мандельштам	знаком(а) с этим автором и могу привести отдельные строчки или стихи	
2/17/2020 22:37:36	Н. Гумилёв	знаком(а) с этим автором и могу привести отдельные строчки или стихи	Н. Некрасов	знаком(а) с этим автором и могу привести отдельные строчки или стихи	А. Ахматова	знаком(а) с этим автором и могу привести отдельные строчки или стихи	
2/20/2020 0:18:32	Б. Пастернак	знаком(а) с этим автором и могу привести отдельные строчки или стихи	Е. Белов	слышал(а), но представляю себе смутно	М. Цветаева	знаком(а) с этим автором и могу привести отдельные строчки или стихи	
2/28/2020 2:01:08	Б. Пастернак	знаком(а) с этим автором и могу привести отдельные строчки или стихи	М. Кузмин	знаком(а) с этим автором и могу привести отдельные строчки или стихи	О. Мандельштам	знаком(а) с этим автором и могу привести отдельные строчки или стихи	
