Timestamp	На текстах какого поэта учился писать эти стихи компьютер? "Как в сумерки мысль, / лишь город и люди были как пыльник. / Может, как новодородный голос, / Одного листьев и подносит пряда."	Насколько вы знакомы с творчеством поэта, которого выбрали в предыдущем вопросе?	На текстах какого поэта учился писать эти стихи компьютер? "И карточки не слышал. / Он был уж добрый свет, / Но как бы мог прибавил / Какой-то бедного покой."	Насколько вы знакомы с творчеством поэта, которого выбрали в предыдущем вопросе?	На текстах какого поэта учился писать эти стихи компьютер? "Под деревья полночного воздуха. / На вечности в отказе вернется, / И нашим новым пустотелым платьем / На прозрачной подкове просили лета."	Насколько вы знакомы с творчеством поэта, которого выбрали в предыдущем вопросе?	Если хотите, поясните свой выбор (необязательно)
2/13/2020 13:47:36	В. Маяковский	этот автор хорошо мне известен, я помню наизусть многие его стихи	Н. Некрасов	этот автор хорошо мне известен, я помню наизусть многие его стихи	А. Ахматова	этот автор хорошо мне известен, я помню наизусть многие его стихи	
2/13/2020 13:48:24	Н. Гумилёв	знаком(а) с этим автором и могу привести отдельные строчки или стихи	Н. Некрасов	знаком(а) с этим автором и могу привести отдельные строчки или стихи	А. Ахматова	знаком(а) с этим автором и могу привести отдельные строчки или стихи	
2/13/2020 13:48:37	Н. Гумилёв	слышал(а), но представляю себе смутно	Е. Белов	никогда не слышал(а) такого имени	О. Мандельштам	никогда не слышал(а) такого имени	
2/13/2020 13:48:54	Б. Пастернак	этот автор хорошо мне известен, я помню наизусть многие его стихи	М. Кузмин	знаком(а) с этим автором и могу привести отдельные строчки или стихи	А. Ахматова	этот автор хорошо мне известен, я помню наизусть многие его стихи	
2/13/2020 13:49:02	В. Маяковский	знаком(а) с этим автором и могу привести отдельные строчки или стихи	Н. Некрасов	знаком(а) с этим автором в общих чертах, но процитировать не берусь	А. Ахматова	знаком(а) с этим автором в общих чертах, но процитировать не берусь	
2/13/2020 13:49:10	В. Маяковский	знаком(а) с этим автором и могу привести отдельные строчки или стихи	Н. Некрасов	знаком(а) с этим автором и могу привести отдельные строчки или стихи	М. Цветаева	знаком(а) с этим автором и могу привести отдельные строчки или стихи	
2/13/2020 13:49:13	Б. Пастернак	этот автор хорошо мне известен, я помню наизусть многие его стихи	Н. Некрасов	этот автор хорошо мне известен, я помню наизусть многие его стихи	В. Маяковский	этот автор хорошо мне известен, я помню наизусть многие его стихи	
2/13/2020 13:49:40	Б. Пастернак	знаком(а) с этим автором и могу привести отдельные строчки или стихи	Н. Некрасов	знаком(а) с этим автором и могу привести отдельные строчки или стихи	А. Ахматова	знаком(а) с этим автором и могу привести отдельные строчки или стихи	
2/13/2020 13:50:22	Б. Пастернак	этот автор хорошо мне известен, я помню наизусть многие его стихи	М. Кузмин	знаком(а) с этим автором и могу привести отдельные строчки или стихи	М. Цветаева	знаком(а) с этим автором и могу привести отдельные строчки или стихи	
2/13/2020 13:50:46	В. Маяковский	знаком(а) с этим автором и могу привести отдельные строчки или стихи	П. Вяземский	слышал(а), но представляю себе смутно	М. Цветаева	знаком(а) с этим автором и могу привести отдельные строчки или стихи	
2/13/2020 13:51:26	Б. Пастернак	знаком(а) с этим автором и могу привести отдельные строчки или стихи	Н. Некрасов	знаком(а) с этим автором и могу привести отдельные строчки или стихи	О. Мандельштам	знаком(а) с этим автором в общих чертах, но процитировать не берусь	
2/13/2020 13:52:28	Н. Гумилёв	знаком(а) с этим автором в общих чертах, но процитировать не берусь	М. Кузмин	слышал(а), но представляю себе смутно	А. Ахматова	знаком(а) с этим автором в общих чертах, но процитировать не берусь	
2/13/2020 13:53:48	Н. Гумилёв	знаком(а) с этим автором и могу привести отдельные строчки или стихи	П. Вяземский	знаком(а) с этим автором в общих чертах, но процитировать не берусь	О. Мандельштам	этот автор хорошо мне известен, я помню наизусть многие его стихи	
2/13/2020 13:54:23	В. Маяковский	знаком(а) с этим автором и могу привести отдельные строчки или стихи	П. Вяземский	слышал(а), но представляю себе смутно	М. Цветаева	знаком(а) с этим автором и могу привести отдельные строчки или стихи	Попытка сделать выбор, основанный не только на представлении о стиле поэта, метрике, которую он мог использовать, но и на собственных "интуитивных" ощущениях (к какому автору были бы ближе те или иные строчки). 
2/13/2020 13:55:01	Б. Пастернак	этот автор хорошо мне известен, я помню наизусть многие его стихи	Н. Некрасов	знаком(а) с этим автором и могу привести отдельные строчки или стихи	А. Ахматова	этот автор хорошо мне известен, я помню наизусть многие его стихи	
2/13/2020 13:55:17	Б. Пастернак	знаком(а) с этим автором в общих чертах, но процитировать не берусь	П. Вяземский	слышал(а), но представляю себе смутно	О. Мандельштам	знаком(а) с этим автором и могу привести отдельные строчки или стихи	
2/13/2020 13:55:41	В. Маяковский	этот автор хорошо мне известен, я помню наизусть многие его стихи	П. Вяземский	знаком(а) с этим автором в общих чертах, но процитировать не берусь	А. Ахматова	этот автор хорошо мне известен, я помню наизусть многие его стихи	
2/13/2020 13:55:49	Б. Пастернак	знаком(а) с этим автором в общих чертах, но процитировать не берусь	М. Кузмин	знаком(а) с этим автором в общих чертах, но процитировать не берусь	О. Мандельштам	знаком(а) с этим автором в общих чертах, но процитировать не берусь	
2/13/2020 13:56:02	Б. Пастернак	знаком(а) с этим автором в общих чертах, но процитировать не берусь	П. Вяземский	знаком(а) с этим автором в общих чертах, но процитировать не берусь	М. Цветаева	знаком(а) с этим автором в общих чертах, но процитировать не берусь	
2/13/2020 13:57:27	Б. Пастернак	знаком(а) с этим автором и могу привести отдельные строчки или стихи	М. Кузмин	знаком(а) с этим автором в общих чертах, но процитировать не берусь	А. Ахматова	знаком(а) с этим автором и могу привести отдельные строчки или стихи	
2/13/2020 13:58:17	Б. Пастернак	знаком(а) с этим автором и могу привести отдельные строчки или стихи	Н. Некрасов	знаком(а) с этим автором и могу привести отдельные строчки или стихи	О. Мандельштам	знаком(а) с этим автором в общих чертах, но процитировать не берусь	
2/13/2020 13:58:57	Б. Пастернак	знаком(а) с этим автором и могу привести отдельные строчки или стихи	М. Кузмин	знаком(а) с этим автором в общих чертах, но процитировать не берусь	О. Мандельштам	знаком(а) с этим автором и могу привести отдельные строчки или стихи	
2/13/2020 14:00:54	Н. Гумилёв	знаком(а) с этим автором в общих чертах, но процитировать не берусь	Н. Некрасов	слышал(а), но представляю себе смутно	А. Ахматова	знаком(а) с этим автором в общих чертах, но процитировать не берусь	
2/13/2020 14:02:51	Б. Пастернак	знаком(а) с этим автором и могу привести отдельные строчки или стихи	Н. Некрасов	знаком(а) с этим автором и могу привести отдельные строчки или стихи	А. Ахматова	знаком(а) с этим автором и могу привести отдельные строчки или стихи	
2/13/2020 14:05:14	Б. Пастернак	знаком(а) с этим автором и могу привести отдельные строчки или стихи	М. Кузмин	знаком(а) с этим автором в общих чертах, но процитировать не берусь	М. Цветаева	знаком(а) с этим автором и могу привести отдельные строчки или стихи	
2/13/2020 14:06:58	Б. Пастернак	знаком(а) с этим автором в общих чертах, но процитировать не берусь	М. Кузмин	слышал(а), но представляю себе смутно	О. Мандельштам	этот автор хорошо мне известен, я помню наизусть многие его стихи	
2/13/2020 14:07:44	С. Есенин	этот автор хорошо мне известен, я помню наизусть многие его стихи	Н. Некрасов	знаком(а) с этим автором и могу привести отдельные строчки или стихи	А. Ахматова	знаком(а) с этим автором в общих чертах, но процитировать не берусь	
2/13/2020 14:10:51	Б. Пастернак	знаком(а) с этим автором в общих чертах, но процитировать не берусь	Н. Некрасов	знаком(а) с этим автором в общих чертах, но процитировать не берусь	А. Ахматова	этот автор хорошо мне известен, я помню наизусть многие его стихи	
2/13/2020 14:12:13	Б. Пастернак	знаком(а) с этим автором и могу привести отдельные строчки или стихи	М. Кузмин	знаком(а) с этим автором в общих чертах, но процитировать не берусь	А. Ахматова	знаком(а) с этим автором и могу привести отдельные строчки или стихи	
2/13/2020 14:13:20	Н. Гумилёв	знаком(а) с этим автором и могу привести отдельные строчки или стихи	П. Вяземский	знаком(а) с этим автором в общих чертах, но процитировать не берусь	А. Ахматова	знаком(а) с этим автором и могу привести отдельные строчки или стихи	
2/13/2020 14:17:35	Б. Пастернак	этот автор хорошо мне известен, я помню наизусть многие его стихи	П. Вяземский	знаком(а) с этим автором в общих чертах, но процитировать не берусь	А. Ахматова	знаком(а) с этим автором и могу привести отдельные строчки или стихи	
2/13/2020 14:19:14	Б. Пастернак	знаком(а) с этим автором в общих чертах, но процитировать не берусь	П. Вяземский	никогда не слышал(а) такого имени	М. Цветаева	знаком(а) с этим автором в общих чертах, но процитировать не берусь	
2/13/2020 14:20:05	Н. Гумилёв	знаком(а) с этим автором в общих чертах, но процитировать не берусь	П. Вяземский	знаком(а) с этим автором в общих чертах, но процитировать не берусь	М. Цветаева	знаком(а) с этим автором и могу привести отдельные строчки или стихи	
2/13/2020 14:20:15	Н. Гумилёв	знаком(а) с этим автором в общих чертах, но процитировать не берусь	Н. Некрасов	знаком(а) с этим автором в общих чертах, но процитировать не берусь	М. Цветаева	знаком(а) с этим автором в общих чертах, но процитировать не берусь	
2/13/2020 14:22:07	С. Есенин	знаком(а) с этим автором и могу привести отдельные строчки или стихи	Н. Некрасов	знаком(а) с этим автором и могу привести отдельные строчки или стихи	О. Мандельштам	знаком(а) с этим автором и могу привести отдельные строчки или стихи	
2/13/2020 14:29:33	В. Маяковский	знаком(а) с этим автором и могу привести отдельные строчки или стихи	М. Кузмин	знаком(а) с этим автором и могу привести отдельные строчки или стихи	О. Мандельштам	этот автор хорошо мне известен, я помню наизусть многие его стихи	
2/13/2020 14:35:49	С. Есенин	этот автор хорошо мне известен, я помню наизусть многие его стихи	П. Вяземский	знаком(а) с этим автором в общих чертах, но процитировать не берусь	О. Мандельштам	знаком(а) с этим автором в общих чертах, но процитировать не берусь	
2/13/2020 14:38:19	Б. Пастернак	знаком(а) с этим автором в общих чертах, но процитировать не берусь	Н. Некрасов	знаком(а) с этим автором в общих чертах, но процитировать не берусь	А. Ахматова	знаком(а) с этим автором и могу привести отдельные строчки или стихи	
2/13/2020 14:52:53	Б. Пастернак	этот автор хорошо мне известен, я помню наизусть многие его стихи	П. Вяземский	слышал(а), но представляю себе смутно	О. Мандельштам	знаком(а) с этим автором и могу привести отдельные строчки или стихи	
2/13/2020 14:52:53	Н. Гумилёв	знаком(а) с этим автором и могу привести отдельные строчки или стихи	М. Кузмин	знаком(а) с этим автором в общих чертах, но процитировать не берусь	А. Ахматова	знаком(а) с этим автором и могу привести отдельные строчки или стихи	
2/13/2020 14:54:06	Н. Гумилёв	знаком(а) с этим автором и могу привести отдельные строчки или стихи	Н. Некрасов	знаком(а) с этим автором и могу привести отдельные строчки или стихи	М. Цветаева	этот автор хорошо мне известен, я помню наизусть многие его стихи	
2/13/2020 14:54:44	Б. Пастернак	знаком(а) с этим автором и могу привести отдельные строчки или стихи	П. Вяземский	знаком(а) с этим автором в общих чертах, но процитировать не берусь	О. Мандельштам	этот автор хорошо мне известен, я помню наизусть многие его стихи	
2/13/2020 14:56:12	Б. Пастернак	знаком(а) с этим автором и могу привести отдельные строчки или стихи	П. Вяземский	слышал(а), но представляю себе смутно	О. Мандельштам	знаком(а) с этим автором и могу привести отдельные строчки или стихи	
2/13/2020 14:59:19	Б. Пастернак	знаком(а) с этим автором и могу привести отдельные строчки или стихи	М. Кузмин	знаком(а) с этим автором и могу привести отдельные строчки или стихи	М. Цветаева	знаком(а) с этим автором и могу привести отдельные строчки или стихи	
2/13/2020 15:00:07	Н. Гумилёв	знаком(а) с этим автором и могу привести отдельные строчки или стихи	Н. Некрасов	знаком(а) с этим автором и могу привести отдельные строчки или стихи	О. Мандельштам	этот автор хорошо мне известен, я помню наизусть многие его стихи	
2/13/2020 15:01:48	Б. Пастернак	этот автор хорошо мне известен, я помню наизусть многие его стихи	Н. Некрасов	знаком(а) с этим автором и могу привести отдельные строчки или стихи	О. Мандельштам	этот автор хорошо мне известен, я помню наизусть многие его стихи	
2/13/2020 15:04:34	Н. Гумилёв	знаком(а) с этим автором и могу привести отдельные строчки или стихи	П. Вяземский	слышал(а), но представляю себе смутно	А. Ахматова	знаком(а) с этим автором в общих чертах, но процитировать не берусь	
2/13/2020 15:05:47	Б. Пастернак	знаком(а) с этим автором и могу привести отдельные строчки или стихи	Е. Белов	никогда не слышал(а) такого имени	О. Мандельштам	знаком(а) с этим автором и могу привести отдельные строчки или стихи	
2/13/2020 15:17:22	С. Есенин	знаком(а) с этим автором и могу привести отдельные строчки или стихи	М. Кузмин	никогда не слышал(а) такого имени	А. Ахматова	знаком(а) с этим автором и могу привести отдельные строчки или стихи	
2/13/2020 15:17:43	Н. Гумилёв	знаком(а) с этим автором и могу привести отдельные строчки или стихи	П. Вяземский	знаком(а) с этим автором в общих чертах, но процитировать не берусь	А. Ахматова	этот автор хорошо мне известен, я помню наизусть многие его стихи	
2/13/2020 15:19:23	Б. Пастернак	слышал(а), но представляю себе смутно	М. Кузмин	никогда не слышал(а) такого имени	А. Ахматова	знаком(а) с этим автором в общих чертах, но процитировать не берусь	
2/13/2020 15:20:09	В. Маяковский	этот автор хорошо мне известен, я помню наизусть многие его стихи	П. Вяземский	знаком(а) с этим автором и могу привести отдельные строчки или стихи	О. Мандельштам	этот автор хорошо мне известен, я помню наизусть многие его стихи	
2/13/2020 15:24:13	В. Маяковский	этот автор хорошо мне известен, я помню наизусть многие его стихи	Н. Некрасов	этот автор хорошо мне известен, я помню наизусть многие его стихи	О. Мандельштам	знаком(а) с этим автором и могу привести отдельные строчки или стихи	
2/13/2020 15:24:40	Н. Гумилёв	знаком(а) с этим автором и могу привести отдельные строчки или стихи	Н. Некрасов	знаком(а) с этим автором и могу привести отдельные строчки или стихи	О. Мандельштам	знаком(а) с этим автором и могу привести отдельные строчки или стихи	Кажется, стихотворения похожи по лексике
2/13/2020 15:31:28	В. Маяковский	знаком(а) с этим автором в общих чертах, но процитировать не берусь	Н. Некрасов	знаком(а) с этим автором и могу привести отдельные строчки или стихи	А. Ахматова	знаком(а) с этим автором в общих чертах, но процитировать не берусь	
2/13/2020 15:50:02	Б. Пастернак	знаком(а) с этим автором и могу привести отдельные строчки или стихи	Н. Некрасов	знаком(а) с этим автором и могу привести отдельные строчки или стихи	А. Ахматова	знаком(а) с этим автором и могу привести отдельные строчки или стихи	
2/13/2020 16:08:19	Б. Пастернак	знаком(а) с этим автором и могу привести отдельные строчки или стихи	П. Вяземский	знаком(а) с этим автором в общих чертах, но процитировать не берусь	А. Ахматова	знаком(а) с этим автором и могу привести отдельные строчки или стихи	
2/13/2020 16:27:24	Б. Пастернак	этот автор хорошо мне известен, я помню наизусть многие его стихи	М. Кузмин	знаком(а) с этим автором в общих чертах, но процитировать не берусь	О. Мандельштам	этот автор хорошо мне известен, я помню наизусть многие его стихи	Выбирала исходя из ассоциаций с другими текстами авторов и подходящих слов, а также отчасти ритмики и длины строки
2/13/2020 16:51:09	С. Есенин	знаком(а) с этим автором и могу привести отдельные строчки или стихи	М. Кузмин	слышал(а), но представляю себе смутно	М. Цветаева	знаком(а) с этим автором и могу привести отдельные строчки или стихи	
2/13/2020 16:59:41	Б. Пастернак	этот автор хорошо мне известен, я помню наизусть многие его стихи	Е. Белов	никогда не слышал(а) такого имени	М. Цветаева	этот автор хорошо мне известен, я помню наизусть многие его стихи	
2/13/2020 17:45:23	В. Маяковский	этот автор хорошо мне известен, я помню наизусть многие его стихи	Н. Некрасов	знаком(а) с этим автором и могу привести отдельные строчки или стихи	О. Мандельштам	этот автор хорошо мне известен, я помню наизусть многие его стихи	
2/13/2020 17:46:58	В. Маяковский	этот автор хорошо мне известен, я помню наизусть многие его стихи	П. Вяземский	знаком(а) с этим автором в общих чертах, но процитировать не берусь	О. Мандельштам	этот автор хорошо мне известен, я помню наизусть многие его стихи	
2/13/2020 17:51:38	Б. Пастернак	этот автор хорошо мне известен, я помню наизусть многие его стихи	П. Вяземский	знаком(а) с этим автором в общих чертах, но процитировать не берусь	О. Мандельштам	этот автор хорошо мне известен, я помню наизусть многие его стихи	Более-менее уверена только в ответе на последний вопрос, эпитеты очень характерны для Мандельштама + появляется намек на связь разных времен – "на вечности в отказе вернется"
2/13/2020 18:11:18	В. Маяковский	этот автор хорошо мне известен, я помню наизусть многие его стихи	М. Кузмин	знаком(а) с этим автором и могу привести отдельные строчки или стихи	О. Мандельштам	этот автор хорошо мне известен, я помню наизусть многие его стихи	
2/13/2020 18:48:12	В. Маяковский	знаком(а) с этим автором и могу привести отдельные строчки или стихи	Н. Некрасов	знаком(а) с этим автором и могу привести отдельные строчки или стихи	О. Мандельштам	знаком(а) с этим автором и могу привести отдельные строчки или стихи	
2/13/2020 19:15:43	Б. Пастернак	знаком(а) с этим автором в общих чертах, но процитировать не берусь	Н. Некрасов	знаком(а) с этим автором и могу привести отдельные строчки или стихи	О. Мандельштам	знаком(а) с этим автором и могу привести отдельные строчки или стихи	
2/13/2020 19:48:13	Б. Пастернак	знаком(а) с этим автором и могу привести отдельные строчки или стихи	М. Кузмин	слышал(а), но представляю себе смутно	М. Цветаева	знаком(а) с этим автором в общих чертах, но процитировать не берусь	
2/13/2020 21:13:19	Б. Пастернак	знаком(а) с этим автором и могу привести отдельные строчки или стихи	П. Вяземский	знаком(а) с этим автором в общих чертах, но процитировать не берусь	О. Мандельштам	знаком(а) с этим автором и могу привести отдельные строчки или стихи	Ориентировалась на фонетическую память 
2/13/2020 21:26:43	С. Есенин	знаком(а) с этим автором в общих чертах, но процитировать не берусь	Н. Некрасов	знаком(а) с этим автором и могу привести отдельные строчки или стихи	О. Мандельштам	знаком(а) с этим автором и могу привести отдельные строчки или стихи	
2/13/2020 22:11:35	В. Маяковский	знаком(а) с этим автором и могу привести отдельные строчки или стихи	П. Вяземский	слышал(а), но представляю себе смутно	О. Мандельштам	знаком(а) с этим автором в общих чертах, но процитировать не берусь	
2/13/2020 22:54:26	Н. Гумилёв	знаком(а) с этим автором и могу привести отдельные строчки или стихи	Н. Некрасов	знаком(а) с этим автором и могу привести отдельные строчки или стихи	О. Мандельштам	знаком(а) с этим автором и могу привести отдельные строчки или стихи	Кажется, стихотворения похожи по лексике
2/14/2020 0:55:11	Б. Пастернак	знаком(а) с этим автором и могу привести отдельные строчки или стихи	М. Кузмин	знаком(а) с этим автором в общих чертах, но процитировать не берусь	М. Цветаева	знаком(а) с этим автором и могу привести отдельные строчки или стихи	
2/14/2020 1:34:28	Б. Пастернак	знаком(а) с этим автором и могу привести отдельные строчки или стихи	Н. Некрасов	знаком(а) с этим автором в общих чертах, но процитировать не берусь	О. Мандельштам	знаком(а) с этим автором и могу привести отдельные строчки или стихи	
2/14/2020 6:03:09	Б. Пастернак	знаком(а) с этим автором и могу привести отдельные строчки или стихи	М. Кузмин	знаком(а) с этим автором и могу привести отдельные строчки или стихи	М. Цветаева	знаком(а) с этим автором и могу привести отдельные строчки или стихи	
2/14/2020 9:27:55	В. Маяковский	этот автор хорошо мне известен, я помню наизусть многие его стихи	М. Кузмин	знаком(а) с этим автором в общих чертах, но процитировать не берусь	О. Мандельштам	этот автор хорошо мне известен, я помню наизусть многие его стихи	
2/14/2020 9:55:05	Н. Гумилёв	знаком(а) с этим автором в общих чертах, но процитировать не берусь	Е. Белов	слышал(а), но представляю себе смутно	М. Цветаева	знаком(а) с этим автором в общих чертах, но процитировать не берусь	
2/14/2020 10:27:31	С. Есенин	знаком(а) с этим автором и могу привести отдельные строчки или стихи	П. Вяземский	слышал(а), но представляю себе смутно	А. Ахматова	знаком(а) с этим автором и могу привести отдельные строчки или стихи	
2/14/2020 12:35:51	В. Маяковский	знаком(а) с этим автором и могу привести отдельные строчки или стихи	Е. Белов	никогда не слышал(а) такого имени	О. Мандельштам	этот автор хорошо мне известен, я помню наизусть многие его стихи	
2/14/2020 13:16:57	С. Есенин	знаком(а) с этим автором и могу привести отдельные строчки или стихи	Н. Некрасов	этот автор хорошо мне известен, я помню наизусть многие его стихи	А. Ахматова	этот автор хорошо мне известен, я помню наизусть многие его стихи	
2/14/2020 19:56:05	В. Маяковский	знаком(а) с этим автором и могу привести отдельные строчки или стихи	Е. Белов	никогда не слышал(а) такого имени	М. Цветаева	слышал(а), но представляю себе смутно	
2/14/2020 20:48:46	Б. Пастернак	знаком(а) с этим автором и могу привести отдельные строчки или стихи	Н. Некрасов	знаком(а) с этим автором и могу привести отдельные строчки или стихи	О. Мандельштам	знаком(а) с этим автором и могу привести отдельные строчки или стихи	
2/14/2020 21:52:48	Б. Пастернак	знаком(а) с этим автором в общих чертах, но процитировать не берусь	Н. Некрасов	знаком(а) с этим автором в общих чертах, но процитировать не берусь	О. Мандельштам	знаком(а) с этим автором в общих чертах, но процитировать не берусь	
2/15/2020 0:42:43	Б. Пастернак	знаком(а) с этим автором в общих чертах, но процитировать не берусь	Н. Некрасов	знаком(а) с этим автором в общих чертах, но процитировать не берусь	О. Мандельштам	знаком(а) с этим автором и могу привести отдельные строчки или стихи	
