Source,Target,Weight,Type
5-seconds-of-summer,carrie-underwood,1,undirected
5-seconds-of-summer,onerepublic,2,undirected
5-seconds-of-summer,taylor-swift,3,undirected
50-cent,eminem,3,undirected
50-cent,jay-Z,5,undirected
50-cent,kanye-west,1,undirected
50-cent,lil-wayne,4,undirected
50-cent,nicki-minaj,1,undirected
adele,ed-sheeran,5,undirected
adele,sia,1,undirected
adele,lana-del-rey,3,undirected
adele,lykke-li,2,undirected
adele,taylor-swift,3,undirected
adele,the-xx,4,undirected
adele,kacey-musgraves,3,undirected
adele,marina,1,undirected
arctic-monkeys,carrie-underwood,2,undirected
arctic-monkeys,coldplay,4,undirected
arctic-monkeys,kacey-musgraves,3,undirected
arctic-monkeys,nirvana,4,undirected
arctic-monkeys,tim-mcgraw,4,undirected
ariana-grande,beyonce,2,undirected
ariana-grande,justin-bieber,2,undirected
ariana-grande,rihanna,5,undirected
ariana-grande,the-weeknd,3,undirected
behemoth,darkthrone,5,undirected
behemoth,gorgoroth,6,undirected
behemoth,immortal,4,undirected
beyonce,ariana-grande,2,undirected
beyonce,bruno-mars,3,undirected
beyonce,ed-sheeran,3,undirected
beyonce,janelle-monae,2,undirected
beyonce,justin-timberlake,1,undirected
beyonce,kanye-west,2,undirected
beyonce,lana-del-rey,1,undirected
beyonce,lykke-li,3,undirected
beyonce,rihanna,6,undirected
beyonce,the-weeknd,2,undirected
beyonce,tove-lo,1,undirected
billie-eilish,carly-rae-jepsen,2,undirected
billie-eilish,lorde,3,undirected
bjork,iamx,5,undirected
bjork,kendrick-lamar,3,undirected
bjork,tim-mcgraw,1,undirected
bruno-mars,beyonce,3,undirected
bruno-mars,justin-bieber,2,undirected
bruno-mars,rihanna,1,undirected
bruno-mars,janelle-monae,6,undirected
bullet-for-my-valentine,disturbed,4,undirected
bullet-for-my-valentine,korn,4,undirected
bullet-for-my-valentine,muse,3,undirected
carly-rae-jepsen,billie-eilish,2,undirected
carly-rae-jepsen,justin-bieber,5,undirected
carly-rae-jepsen,taylor-swift,6,undirected
carly-rae-jepsen,sia,3,undirected
carly-rae-jepsen,lady-gaga,2,undirected
carly-rae-jepsen,charli-xcx,5,undirected
carrie-underwood,5-seconds-of-summer,1,undirected
carrie-underwood,arctic-monkeys,2,undirected
carrie-underwood,kacey-musgraves,2,undirected
carrie-underwood,marina,1,undirected
carrie-underwood,sugarland,5,undirected
carrie-underwood,taylor-swift,4,undirected
carrie-underwood,tim-mcgraw,5,undirected
charli-xcx,kesha,4,undirected
charli-xcx,carly-rae-jepsen,5,undirected
charli-xcx,tove-lo,3,undirected
charlie-puth,justin-bieber,3,undirected
charlie-puth,justin-timberlake,1,undirected
charlie-puth,shawn-mendes,2,undirected
coldplay,arctic-monkeys,4,undirected
coldplay,radiohead,3,undirected
coldplay,sugarland,2,undirected
coldplay,taylor-swift,1,undirected
